tcc tower stripInTower TCCch
63 35 5 35
42 56 5 56
102 19 2 32
38 26 5 26
96 21 1 36
68 54 1 54
71 68 3 68
53 2 1 2
43 21 3 21
52 25 2 25
67 64 1 64
47 35 1 35
59 24 1 24
38 28 1 28
72 53 3 53
54 65 2 65
40 32 1 32
28 10 1 29
71 17 3 17
72 31 3 31
37 5 3 5
39 1 1 1
63 9 2 9
39 15 1 15
94 20 1 32
43 15 3 15
65 39 4 39
58 20 2 20
40 44 2 44
36 14 2 34
57 47 4 47
54 3 5 3
23 11 1 27
64 54 1 54
34 2 2 3
50 60 2 60
13 9 2 17
38 30 4 30
61 37 3 37
65 37 2 37
68 11 1 11
57 16 4 16
18 19 1 32
47 51 5 51
59 30 5 30
56 1 3 1
11 10 2 19
57 43 3 43
61 59 5 59
40 26 3 26
104 6 2 12
52 41 2 41
65 66 1 66
50 34 3 34
59 39 4 39
60 49 1 49
68 60 1 60
73 3 3 9
41 43 2 43
37 56 2 56
12 24 2 37
76 15 2 36
38 44 1 44
45 19 4 19
66 62 4 62
101 12 1 22
47 60 3 60
12 7 2 13
56 33 4 33
81 1 3 3
52 45 3 45
73 5 3 15
60 36 1 36
55 4 3 4
39 41 4 41
64 42 2 42
62 63 4 63
68 50 3 50
58 44 1 44
44 59 2 59
56 35 1 35
36 16 2 39
48 59 3 59
107 9 2 16
87 15 2 39
54 40 3 40
53 33 1 33
80 5 3 8
72 65 2 65
64 14 2 14
24 14 2 37
24 5 3 12
71 35 5 35
43 65 3 65
58 12 4 12
17 17 2 30
40 32 2 32
71 40 3 40
53 67 5 67
71 17 2 17
48 40 1 40
57 17 3 17
47 21 1 21
68 5 4 5
59 10 2 10
61 7 1 7
24 7 2 17
50 30 2 30
39 54 4 54
44 8 1 8
51 23 2 23
66 66 4 66
63 40 2 40
51 10 1 10
63 63 3 63
56 24 3 24
69 31 2 31
79 16 2 40
41 41 1 41
62 20 4 20
50 9 2 9
66 14 3 14
66 23 3 23
66 67 5 67
40 30 3 30
72 55 5 55
62 41 5 41
32 16 2 41
53 16 5 16
50 26 3 26
38 51 2 51
86 11 3 29
53 13 3 13
57 59 5 59
63 11 1 11
52 9 4 9
39 4 2 4
54 42 2 42
32 6 1 13
53 50 1 50
67 68 4 68
66 9 1 9
37 52 5 52
106 14 1 25
53 13 4 13
38 18 2 18
70 19 1 19
66 20 5 20
47 18 3 18
28 13 1 39
46 1 2 1
37 56 5 56
52 5 1 5
63 38 3 38
70 17 1 17
64 27 4 27
66 68 3 68
29 14 2 33
64 29 5 29
41 25 2 25
50 56 1 56
61 24 3 24
9 26 1 38
39 27 5 27
49 8 1 8
56 67 4 67
65 53 3 53
64 10 5 10
47 65 2 65
61 54 1 54
38 26 2 26
61 23 3 23
66 17 3 17
65 31 3 31
47 1 1 1
55 47 1 47
46 20 3 20
44 59 5 59
48 61 2 61
43 56 1 56
6 4 1 7
46 47 1 47
39 22 4 22
71 51 3 51
40 5 4 5
57 15 3 15
44 47 4 47
68 10 4 10
51 57 5 57
16 13 2 24
48 17 2 17
48 4 2 4
43 60 2 60
75 9 2 23
60 31 3 31
64 44 4 44
