,event,adc
0,0,"[202.0, 201.0, 200.0, 216.0, 296.0, 326.0, 314.0, 284.0, 261.0, 243.0]"
1,0,"[200.0, 200.0, 201.0, 311.0, 910.0, 1136.0, 1039.0, 841.0, 658.0, 519.0]"
2,0,"[199.0, 199.0, 198.0, 268.0, 658.0, 807.0, 744.0, 616.0, 499.0, 409.0]"
3,0,"[199.0, 200.0, 202.0, 216.0, 294.0, 328.0, 317.0, 290.0, 265.0, 244.0]"
4,1,"[201.0, 199.0, 201.0, 252.0, 550.0, 664.0, 618.0, 520.0, 428.0, 358.0]"
5,1,"[202.0, 202.0, 204.0, 226.0, 344.0, 391.0, 370.0, 331.0, 293.0, 263.0]"
6,1,"[200.0, 200.0, 202.0, 216.0, 298.0, 331.0, 316.0, 288.0, 262.0, 243.0]"
7,1,"[200.0, 197.0, 197.0, 209.0, 278.0, 304.0, 295.0, 272.0, 250.0, 235.0]"
8,2,"[196.0, 197.0, 199.0, 276.0, 722.0, 894.0, 824.0, 679.0, 542.0, 441.0]"
9,2,"[200.0, 199.0, 199.0, 209.0, 274.0, 302.0, 293.0, 271.0, 250.0, 234.0]"
10,2,"[202.0, 200.0, 200.0, 220.0, 328.0, 367.0, 349.0, 315.0, 282.0, 259.0]"
11,2,"[202.0, 199.0, 198.0, 299.0, 854.0, 1066.0, 977.0, 793.0, 624.0, 496.0]"
12,3,"[199.0, 201.0, 200.0, 211.0, 279.0, 307.0, 294.0, 272.0, 252.0, 239.0]"
13,3,"[203.0, 202.0, 202.0, 309.0, 909.0, 1140.0, 1045.0, 846.0, 663.0, 522.0]"
14,3,"[200.0, 200.0, 201.0, 223.0, 351.0, 400.0, 382.0, 339.0, 298.0, 268.0]"
15,3,"[200.0, 201.0, 203.0, 362.0, 1207.0, 1521.0, 1382.0, 1105.0, 847.0, 654.0]"
16,3,"[203.0, 202.0, 201.0, 222.0, 334.0, 378.0, 359.0, 322.0, 286.0, 262.0]"
17,4,"[194.0, 195.0, 197.0, 382.0, 1364.0, 1734.0, 1575.0, 1250.0, 951.0, 724.0]"
18,4,"[200.0, 203.0, 201.0, 221.0, 337.0, 382.0, 364.0, 324.0, 286.0, 260.0]"
19,4,"[201.0, 200.0, 202.0, 406.0, 1465.0, 1860.0, 1684.0, 1336.0, 1013.0, 769.0]"
20,5,"[202.0, 203.0, 203.0, 235.0, 418.0, 486.0, 454.0, 395.0, 338.0, 295.0]"
21,5,"[197.0, 196.0, 195.0, 220.0, 354.0, 405.0, 382.0, 337.0, 300.0, 270.0]"
22,5,"[199.0, 198.0, 199.0, 249.0, 521.0, 627.0, 583.0, 494.0, 411.0, 347.0]"
23,5,"[199.0, 199.0, 198.0, 224.0, 372.0, 426.0, 404.0, 357.0, 311.0, 277.0]"
24,5,"[199.0, 199.0, 200.0, 291.0, 780.0, 966.0, 886.0, 723.0, 573.0, 461.0]"
25,5,"[201.0, 198.0, 201.0, 252.0, 529.0, 635.0, 588.0, 498.0, 416.0, 352.0]"
26,6,"[202.0, 201.0, 203.0, 279.0, 703.0, 861.0, 794.0, 656.0, 529.0, 432.0]"
27,6,"[202.0, 202.0, 197.0, 250.0, 552.0, 667.0, 618.0, 519.0, 429.0, 361.0]"
28,6,"[199.0, 197.0, 197.0, 331.0, 1029.0, 1292.0, 1178.0, 949.0, 735.0, 574.0]"
29,6,"[202.0, 202.0, 202.0, 255.0, 542.0, 650.0, 605.0, 509.0, 421.0, 354.0]"
30,7,"[201.0, 200.0, 199.0, 233.0, 420.0, 489.0, 460.0, 400.0, 343.0, 300.0]"
31,7,"[200.0, 199.0, 201.0, 397.0, 1503.0, 1929.0, 1753.0, 1388.0, 1050.0, 795.0]"
32,7,"[201.0, 198.0, 198.0, 296.0, 828.0, 1031.0, 945.0, 769.0, 606.0, 485.0]"
33,7,"[201.0, 201.0, 198.0, 262.0, 616.0, 751.0, 696.0, 580.0, 469.0, 386.0]"
34,7,"[200.0, 198.0, 202.0, 225.0, 350.0, 395.0, 375.0, 335.0, 297.0, 272.0]"
35,7,"[197.0, 197.0, 195.0, 211.0, 298.0, 333.0, 320.0, 291.0, 265.0, 246.0]"
36,8,"[202.0, 199.0, 199.0, 441.0, 1742.0, 2233.0, 2021.0, 1594.0, 1198.0, 895.0]"
37,8,"[202.0, 202.0, 200.0, 219.0, 318.0, 356.0, 340.0, 307.0, 278.0, 257.0]"
38,8,"[201.0, 199.0, 198.0, 266.0, 620.0, 752.0, 693.0, 578.0, 470.0, 388.0]"
39,8,"[200.0, 200.0, 202.0, 257.0, 551.0, 662.0, 617.0, 519.0, 427.0, 359.0]"
40,9,"[202.0, 202.0, 202.0, 263.0, 640.0, 787.0, 730.0, 605.0, 490.0, 403.0]"
41,9,"[200.0, 201.0, 202.0, 320.0, 1011.0, 1280.0, 1171.0, 946.0, 734.0, 575.0]"
42,9,"[203.0, 200.0, 199.0, 216.0, 311.0, 347.0, 333.0, 301.0, 272.0, 250.0]"
