,event,adc
0,0,"[199.0, 200.0, 199.0, 199.0, 237.0, 305.0, 322.0, 304.0, 276.0, 252.0]"
1,0,"[202.0, 197.0, 196.0, 200.0, 316.0, 517.0, 556.0, 499.0, 420.0, 355.0]"
2,0,"[203.0, 202.0, 201.0, 200.0, 312.0, 509.0, 546.0, 492.0, 418.0, 354.0]"
3,1,"[197.0, 195.0, 195.0, 198.0, 277.0, 416.0, 442.0, 404.0, 350.0, 305.0]"
4,1,"[200.0, 202.0, 201.0, 201.0, 252.0, 341.0, 359.0, 333.0, 298.0, 269.0]"
5,2,"[197.0, 201.0, 203.0, 200.0, 273.0, 401.0, 427.0, 391.0, 342.0, 302.0]"
6,2,"[200.0, 198.0, 199.0, 199.0, 257.0, 356.0, 373.0, 345.0, 307.0, 276.0]"
7,3,"[200.0, 201.0, 199.0, 201.0, 264.0, 366.0, 386.0, 354.0, 314.0, 277.0]"
8,3,"[198.0, 198.0, 197.0, 195.0, 233.0, 298.0, 308.0, 290.0, 269.0, 251.0]"
9,4,"[201.0, 200.0, 201.0, 199.0, 245.0, 328.0, 345.0, 323.0, 292.0, 265.0]"
10,5,"[201.0, 200.0, 199.0, 200.0, 285.0, 435.0, 461.0, 421.0, 365.0, 319.0]"
11,5,"[201.0, 202.0, 203.0, 206.0, 239.0, 301.0, 314.0, 296.0, 272.0, 252.0]"
12,6,"[197.0, 196.0, 196.0, 198.0, 415.0, 801.0, 876.0, 768.0, 623.0, 498.0]"
13,6,"[203.0, 203.0, 203.0, 201.0, 246.0, 326.0, 341.0, 320.0, 289.0, 261.0]"
14,7,"[203.0, 199.0, 199.0, 199.0, 293.0, 459.0, 492.0, 447.0, 383.0, 328.0]"
15,7,"[197.0, 197.0, 198.0, 198.0, 264.0, 374.0, 393.0, 363.0, 323.0, 286.0]"
16,8,"[204.0, 202.0, 200.0, 200.0, 374.0, 674.0, 727.0, 644.0, 535.0, 436.0]"
17,9,"[200.0, 200.0, 198.0, 196.0, 381.0, 699.0, 757.0, 668.0, 551.0, 451.0]"
18,9,"[198.0, 199.0, 200.0, 201.0, 282.0, 418.0, 443.0, 404.0, 352.0, 307.0]"
19,9,"[197.0, 197.0, 197.0, 199.0, 302.0, 492.0, 528.0, 477.0, 407.0, 346.0]"
20,10,"[200.0, 202.0, 204.0, 203.0, 352.0, 618.0, 668.0, 594.0, 493.0, 407.0]"
21,10,"[199.0, 198.0, 200.0, 200.0, 250.0, 337.0, 352.0, 328.0, 297.0, 268.0]"
22,11,"[204.0, 202.0, 203.0, 202.0, 305.0, 490.0, 523.0, 471.0, 401.0, 344.0]"
23,11,"[204.0, 202.0, 198.0, 198.0, 293.0, 461.0, 494.0, 447.0, 384.0, 328.0]"
24,12,"[199.0, 200.0, 201.0, 200.0, 291.0, 455.0, 485.0, 440.0, 379.0, 327.0]"
25,12,"[199.0, 199.0, 198.0, 198.0, 250.0, 340.0, 356.0, 331.0, 297.0, 269.0]"
26,13,"[198.0, 200.0, 201.0, 201.0, 260.0, 356.0, 371.0, 346.0, 308.0, 274.0]"
27,13,"[199.0, 198.0, 195.0, 196.0, 246.0, 334.0, 350.0, 328.0, 296.0, 266.0]"
28,13,"[197.0, 197.0, 198.0, 199.0, 599.0, 1313.0, 1446.0, 1252.0, 981.0, 754.0]"
29,14,"[199.0, 198.0, 199.0, 197.0, 308.0, 502.0, 538.0, 485.0, 414.0, 352.0]"
30,14,"[200.0, 199.0, 199.0, 200.0, 270.0, 389.0, 409.0, 376.0, 332.0, 295.0]"
31,15,"[202.0, 200.0, 199.0, 197.0, 317.0, 525.0, 564.0, 508.0, 429.0, 362.0]"
32,15,"[202.0, 203.0, 203.0, 202.0, 297.0, 465.0, 495.0, 447.0, 380.0, 327.0]"
33,16,"[199.0, 198.0, 201.0, 200.0, 392.0, 716.0, 776.0, 684.0, 560.0, 454.0]"
34,17,"[198.0, 199.0, 199.0, 199.0, 504.0, 1017.0, 1109.0, 962.0, 765.0, 599.0]"
35,17,"[203.0, 202.0, 201.0, 201.0, 439.0, 847.0, 921.0, 806.0, 650.0, 516.0]"
36,18,"[199.0, 199.0, 200.0, 202.0, 401.0, 740.0, 800.0, 703.0, 573.0, 466.0]"
37,18,"[201.0, 200.0, 201.0, 199.0, 249.0, 337.0, 355.0, 329.0, 295.0, 269.0]"
38,19,"[199.0, 198.0, 199.0, 201.0, 265.0, 377.0, 397.0, 366.0, 325.0, 288.0]"
39,21,"[201.0, 201.0, 200.0, 200.0, 475.0, 949.0, 1032.0, 900.0, 720.0, 569.0]"
40,21,"[198.0, 199.0, 199.0, 200.0, 316.0, 516.0, 551.0, 493.0, 418.0, 354.0]"
41,21,"[200.0, 202.0, 203.0, 203.0, 351.0, 605.0, 651.0, 580.0, 484.0, 402.0]"
42,22,"[200.0, 200.0, 199.0, 201.0, 373.0, 686.0, 743.0, 656.0, 541.0, 442.0]"
43,22,"[199.0, 199.0, 199.0, 198.0, 268.0, 383.0, 404.0, 370.0, 326.0, 291.0]"
44,22,"[200.0, 201.0, 201.0, 202.0, 251.0, 336.0, 353.0, 330.0, 299.0, 272.0]"
45,23,"[203.0, 201.0, 197.0, 197.0, 237.0, 310.0, 322.0, 302.0, 278.0, 257.0]"
46,24,"[203.0, 201.0, 201.0, 199.0, 366.0, 665.0, 721.0, 640.0, 527.0, 432.0]"
47,24,"[200.0, 199.0, 200.0, 204.0, 259.0, 353.0, 369.0, 343.0, 306.0, 274.0]"
48,25,"[199.0, 199.0, 201.0, 202.0, 248.0, 330.0, 346.0, 323.0, 292.0, 264.0]"
49,25,"[198.0, 197.0, 199.0, 200.0, 408.0, 766.0, 832.0, 732.0, 592.0, 478.0]"
50,26,"[200.0, 199.0, 199.0, 199.0, 580.0, 1239.0, 1356.0, 1173.0, 921.0, 710.0]"
51,26,"[198.0, 201.0, 203.0, 203.0, 404.0, 754.0, 819.0, 721.0, 587.0, 476.0]"
52,27,"[201.0, 204.0, 203.0, 200.0, 326.0, 539.0, 574.0, 514.0, 435.0, 368.0]"
53,27,"[200.0, 199.0, 199.0, 198.0, 246.0, 327.0, 342.0, 318.0, 288.0, 262.0]"
54,27,"[200.0, 201.0, 201.0, 201.0, 268.0, 387.0, 408.0, 372.0, 329.0, 292.0]"
55,28,"[197.0, 199.0, 200.0, 199.0, 278.0, 421.0, 446.0, 406.0, 354.0, 311.0]"
56,29,"[200.0, 199.0, 197.0, 199.0, 457.0, 902.0, 979.0, 853.0, 684.0, 544.0]"
57,29,"[199.0, 197.0, 195.0, 196.0, 395.0, 740.0, 805.0, 708.0, 578.0, 468.0]"
58,30,"[199.0, 200.0, 200.0, 199.0, 388.0, 706.0, 763.0, 672.0, 550.0, 449.0]"
59,30,"[203.0, 203.0, 202.0, 201.0, 242.0, 320.0, 329.0, 309.0, 283.0, 258.0]"
60,30,"[200.0, 198.0, 200.0, 199.0, 280.0, 420.0, 447.0, 407.0, 352.0, 309.0]"
61,30,"[201.0, 203.0, 202.0, 203.0, 235.0, 296.0, 307.0, 288.0, 265.0, 245.0]"
62,31,"[200.0, 201.0, 201.0, 201.0, 283.0, 422.0, 445.0, 404.0, 352.0, 305.0]"
63,31,"[203.0, 202.0, 203.0, 203.0, 244.0, 310.0, 323.0, 303.0, 278.0, 256.0]"
64,33,"[198.0, 200.0, 199.0, 197.0, 300.0, 480.0, 515.0, 466.0, 396.0, 338.0]"
65,33,"[203.0, 198.0, 195.0, 198.0, 236.0, 297.0, 307.0, 290.0, 267.0, 249.0]"
66,34,"[200.0, 200.0, 201.0, 204.0, 260.0, 362.0, 380.0, 351.0, 313.0, 280.0]"
67,34,"[198.0, 200.0, 200.0, 200.0, 288.0, 444.0, 472.0, 432.0, 372.0, 321.0]"
68,34,"[200.0, 201.0, 203.0, 203.0, 292.0, 450.0, 479.0, 435.0, 377.0, 325.0]"
69,35,"[197.0, 199.0, 199.0, 199.0, 256.0, 350.0, 366.0, 338.0, 303.0, 273.0]"
70,37,"[201.0, 199.0, 200.0, 199.0, 298.0, 473.0, 504.0, 455.0, 389.0, 334.0]"
71,39,"[202.0, 198.0, 198.0, 198.0, 246.0, 335.0, 353.0, 330.0, 296.0, 267.0]"
72,39,"[201.0, 199.0, 201.0, 202.0, 376.0, 680.0, 738.0, 651.0, 535.0, 436.0]"
73,40,"[199.0, 197.0, 198.0, 203.0, 255.0, 343.0, 357.0, 333.0, 300.0, 271.0]"
74,40,"[203.0, 197.0, 198.0, 200.0, 290.0, 444.0, 471.0, 428.0, 372.0, 325.0]"
75,41,"[200.0, 201.0, 200.0, 200.0, 247.0, 330.0, 346.0, 322.0, 290.0, 263.0]"
76,41,"[199.0, 197.0, 200.0, 199.0, 330.0, 549.0, 587.0, 524.0, 441.0, 370.0]"
77,41,"[201.0, 203.0, 204.0, 206.0, 255.0, 338.0, 350.0, 326.0, 291.0, 264.0]"
78,41,"[201.0, 199.0, 200.0, 201.0, 271.0, 391.0, 410.0, 374.0, 331.0, 294.0]"
79,42,"[201.0, 201.0, 204.0, 202.0, 303.0, 481.0, 514.0, 463.0, 394.0, 338.0]"
80,43,"[201.0, 200.0, 199.0, 200.0, 307.0, 490.0, 523.0, 472.0, 402.0, 345.0]"
81,43,"[202.0, 203.0, 201.0, 200.0, 251.0, 344.0, 363.0, 335.0, 303.0, 274.0]"
82,43,"[198.0, 198.0, 197.0, 199.0, 314.0, 520.0, 558.0, 503.0, 426.0, 359.0]"
83,44,"[202.0, 200.0, 201.0, 202.0, 336.0, 564.0, 604.0, 539.0, 451.0, 377.0]"
84,44,"[205.0, 204.0, 200.0, 200.0, 372.0, 672.0, 729.0, 646.0, 534.0, 438.0]"
85,45,"[202.0, 202.0, 201.0, 201.0, 300.0, 474.0, 506.0, 458.0, 393.0, 334.0]"
86,47,"[203.0, 202.0, 201.0, 200.0, 507.0, 1030.0, 1122.0, 973.0, 776.0, 609.0]"
87,47,"[201.0, 201.0, 201.0, 199.0, 295.0, 459.0, 489.0, 441.0, 380.0, 328.0]"
88,48,"[202.0, 202.0, 203.0, 205.0, 244.0, 314.0, 327.0, 305.0, 278.0, 255.0]"
89,49,"[202.0, 200.0, 199.0, 200.0, 314.0, 510.0, 544.0, 490.0, 415.0, 352.0]"
90,49,"[203.0, 203.0, 201.0, 202.0, 243.0, 315.0, 328.0, 308.0, 279.0, 257.0]"
91,50,"[198.0, 198.0, 199.0, 199.0, 453.0, 887.0, 964.0, 841.0, 677.0, 540.0]"
92,50,"[201.0, 204.0, 203.0, 201.0, 304.0, 478.0, 508.0, 458.0, 392.0, 336.0]"
93,51,"[201.0, 203.0, 202.0, 203.0, 245.0, 321.0, 337.0, 312.0, 285.0, 261.0]"
94,51,"[202.0, 200.0, 200.0, 202.0, 378.0, 684.0, 738.0, 652.0, 535.0, 437.0]"
95,52,"[197.0, 197.0, 200.0, 200.0, 270.0, 391.0, 412.0, 376.0, 333.0, 295.0]"
96,52,"[200.0, 198.0, 197.0, 199.0, 260.0, 361.0, 378.0, 351.0, 312.0, 279.0]"
97,53,"[202.0, 202.0, 202.0, 201.0, 372.0, 663.0, 715.0, 633.0, 523.0, 431.0]"
98,53,"[201.0, 202.0, 202.0, 201.0, 281.0, 419.0, 440.0, 401.0, 349.0, 306.0]"
99,54,"[198.0, 196.0, 198.0, 198.0, 236.0, 300.0, 311.0, 293.0, 268.0, 250.0]"
100,54,"[200.0, 199.0, 200.0, 199.0, 256.0, 356.0, 373.0, 344.0, 307.0, 276.0]"
101,54,"[200.0, 200.0, 199.0, 198.0, 234.0, 296.0, 307.0, 288.0, 267.0, 247.0]"
102,54,"[201.0, 200.0, 198.0, 198.0, 248.0, 333.0, 347.0, 325.0, 293.0, 266.0]"
103,55,"[203.0, 201.0, 201.0, 201.0, 546.0, 1143.0, 1253.0, 1086.0, 857.0, 667.0]"
104,55,"[200.0, 200.0, 200.0, 201.0, 310.0, 500.0, 533.0, 480.0, 410.0, 350.0]"
105,56,"[200.0, 201.0, 202.0, 202.0, 401.0, 749.0, 814.0, 717.0, 584.0, 472.0]"
106,56,"[202.0, 202.0, 201.0, 200.0, 247.0, 326.0, 339.0, 316.0, 287.0, 263.0]"
