,event,adc
0,0,"[204.0, 203.0, 203.0, 308.0, 381.0, 376.0, 339.0, 300.0, 271.0, 252.0]"
1,0,"[196.0, 196.0, 196.0, 257.0, 301.0, 298.0, 279.0, 258.0, 241.0, 227.0]"
2,1,"[197.0, 196.0, 200.0, 585.0, 862.0, 847.0, 717.0, 575.0, 465.0, 386.0]"
3,1,"[203.0, 203.0, 204.0, 282.0, 337.0, 335.0, 308.0, 281.0, 257.0, 238.0]"
4,2,"[203.0, 204.0, 206.0, 369.0, 487.0, 479.0, 422.0, 361.0, 313.0, 279.0]"
5,2,"[204.0, 203.0, 205.0, 317.0, 395.0, 390.0, 351.0, 311.0, 280.0, 255.0]"
6,3,"[197.0, 197.0, 200.0, 352.0, 462.0, 453.0, 404.0, 345.0, 302.0, 274.0]"
7,3,"[201.0, 204.0, 202.0, 262.0, 303.0, 301.0, 283.0, 258.0, 241.0, 227.0]"
8,4,"[202.0, 203.0, 205.0, 332.0, 425.0, 418.0, 372.0, 325.0, 290.0, 264.0]"
9,4,"[201.0, 199.0, 199.0, 296.0, 364.0, 357.0, 325.0, 292.0, 266.0, 246.0]"
10,5,"[202.0, 203.0, 203.0, 273.0, 320.0, 317.0, 293.0, 267.0, 246.0, 231.0]"
11,5,"[201.0, 200.0, 201.0, 402.0, 547.0, 537.0, 470.0, 399.0, 341.0, 301.0]"
12,5,"[202.0, 203.0, 202.0, 395.0, 537.0, 530.0, 462.0, 393.0, 336.0, 295.0]"
13,6,"[201.0, 201.0, 203.0, 286.0, 345.0, 340.0, 313.0, 281.0, 258.0, 241.0]"
14,7,"[201.0, 200.0, 201.0, 340.0, 440.0, 433.0, 385.0, 335.0, 296.0, 268.0]"
15,7,"[201.0, 199.0, 201.0, 286.0, 348.0, 347.0, 317.0, 283.0, 259.0, 239.0]"
16,8,"[198.0, 198.0, 205.0, 509.0, 720.0, 707.0, 603.0, 489.0, 407.0, 346.0]"
17,9,"[200.0, 200.0, 201.0, 523.0, 751.0, 736.0, 627.0, 509.0, 419.0, 355.0]"
18,9,"[198.0, 197.0, 201.0, 342.0, 441.0, 434.0, 388.0, 336.0, 299.0, 272.0]"
19,9,"[198.0, 199.0, 201.0, 392.0, 530.0, 519.0, 454.0, 384.0, 330.0, 292.0]"
20,10,"[200.0, 198.0, 199.0, 467.0, 661.0, 652.0, 561.0, 463.0, 385.0, 332.0]"
21,10,"[202.0, 202.0, 207.0, 292.0, 352.0, 346.0, 318.0, 286.0, 263.0, 245.0]"
22,11,"[200.0, 200.0, 204.0, 391.0, 523.0, 516.0, 451.0, 383.0, 327.0, 291.0]"
23,11,"[201.0, 200.0, 198.0, 370.0, 488.0, 481.0, 425.0, 364.0, 316.0, 280.0]"
24,12,"[198.0, 201.0, 203.0, 301.0, 369.0, 365.0, 332.0, 297.0, 267.0, 248.0]"
25,12,"[198.0, 199.0, 200.0, 288.0, 350.0, 348.0, 319.0, 286.0, 262.0, 243.0]"
26,12,"[201.0, 200.0, 208.0, 914.0, 1421.0, 1397.0, 1153.0, 895.0, 691.0, 548.0]"
27,13,"[200.0, 202.0, 202.0, 364.0, 476.0, 468.0, 415.0, 356.0, 310.0, 280.0]"
28,13,"[196.0, 197.0, 201.0, 289.0, 350.0, 347.0, 316.0, 283.0, 257.0, 240.0]"
29,14,"[204.0, 201.0, 204.0, 395.0, 532.0, 522.0, 459.0, 391.0, 335.0, 297.0]"
30,14,"[201.0, 202.0, 204.0, 324.0, 411.0, 405.0, 363.0, 316.0, 281.0, 256.0]"
31,15,"[199.0, 200.0, 205.0, 408.0, 559.0, 551.0, 478.0, 400.0, 340.0, 298.0]"
32,15,"[202.0, 203.0, 204.0, 372.0, 490.0, 485.0, 426.0, 364.0, 317.0, 282.0]"
33,16,"[202.0, 201.0, 208.0, 726.0, 1086.0, 1063.0, 885.0, 697.0, 555.0, 453.0]"
34,16,"[199.0, 201.0, 207.0, 614.0, 898.0, 881.0, 738.0, 593.0, 476.0, 395.0]"
35,17,"[203.0, 203.0, 210.0, 541.0, 769.0, 753.0, 638.0, 516.0, 419.0, 359.0]"
36,18,"[201.0, 203.0, 208.0, 550.0, 789.0, 773.0, 655.0, 531.0, 433.0, 365.0]"
37,18,"[197.0, 198.0, 200.0, 289.0, 353.0, 350.0, 316.0, 284.0, 260.0, 244.0]"
38,20,"[204.0, 203.0, 204.0, 512.0, 738.0, 727.0, 621.0, 508.0, 416.0, 356.0]"
39,20,"[203.0, 201.0, 200.0, 320.0, 402.0, 396.0, 354.0, 311.0, 280.0, 256.0]"
40,20,"[202.0, 202.0, 202.0, 291.0, 351.0, 347.0, 318.0, 285.0, 259.0, 240.0]"
41,21,"[200.0, 199.0, 202.0, 314.0, 397.0, 390.0, 352.0, 310.0, 276.0, 253.0]"
42,22,"[200.0, 203.0, 211.0, 688.0, 1023.0, 1001.0, 836.0, 659.0, 523.0, 432.0]"
43,22,"[199.0, 200.0, 200.0, 403.0, 546.0, 540.0, 470.0, 396.0, 339.0, 299.0]"
